id,entPhysicalIndex,entPhysicalDescr,entPhysicalVendorType,entPhysicalContainedIn,entPhysicalClass,entPhysicalParentRelPos,entPhysicalName,entPhysicalHardwareRev,entPhysicalFirmwareRev,entPhysicalSoftwareRev,entPhysicalSerialNum,entPhysicalMfgName,entPhysicalModelName,entPhysicalAlias,entPhysicalAssetID,entPhysicalIsFRU,entPhysicalMfgDate,entPhysicalUris
143,143,LDS6523 v3.3A,.0.0,11,sensor,125,LDS6523 v3.3A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
144,144,LDS6523 v3.3,.0.0,11,sensor,126,LDS6523 v3.3,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
145,145,LDS6523 i12.0A,.0.0,11,sensor,127,LDS6523 i12.0A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
146,146,LDS6523 v0.9,.0.0,11,sensor,128,LDS6523 v0.9,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
147,147,LDS6523 v1.8,.0.0,11,sensor,129,LDS6523 v1.8,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
148,148,LDS6523 v1.5,.0.0,11,sensor,130,LDS6523 v1.5,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
149,149,LDS6523 v1.2,.0.0,11,sensor,131,LDS6523 v1.2,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
150,150,LDS6523 v1.05,.0.0,11,sensor,132,LDS6523 v1.05,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
151,151,LDS6523 v3.3M,.0.0,11,sensor,133,LDS6523 v3.3M,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
152,152,LDS6523 vBATT,.0.0,11,sensor,134,LDS6523 vBATT,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
153,153,LDS6523 i-12.0A,.0.0,11,sensor,135,LDS6523 i-12.0A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
154,154,LDS6523 v1.2A,.0.0,11,sensor,136,LDS6523 v1.2A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
155,155,LDS6523 v1.0A,.0.0,11,sensor,137,LDS6523 v1.0A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
156,156,LDS6523 v1.0,.0.0,11,sensor,138,LDS6523 v1.0,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
157,157,LDS6523 v0.75,.0.0,11,sensor,139,LDS6523 v0.75,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
158,158,LDS6523 v1.5A,.0.0,11,sensor,140,LDS6523 v1.5A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
159,159,LDS6525 IPMB,.0.0,12,sensor,141,LDS6525 IPMB,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
160,160,LDS6525 Health,.0.0,12,sensor,142,LDS6525 Health,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
161,161,LDS6525 VSO Volt,.0.0,12,sensor,143,LDS6525 VSO Volt,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
162,162,LDS6525 VSO Temp,.0.0,12,sensor,144,LDS6525 VSO Temp,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
163,163,LDS6525 PLT Res,.0.0,12,sensor,145,LDS6525 PLT Res,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
164,164,LDS6525 PLT Sts,.0.0,12,sensor,146,LDS6525 PLT Sts,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
165,165,LDS6525 ProcThrm,.0.0,12,sensor,147,LDS6525 ProcThrm,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
166,166,LDS6525 tBoard1,.0.0,12,sensor,148,LDS6525 tBoard1,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
167,167,LDS6525 tBoard,.0.0,12,sensor,149,LDS6525 tBoard,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
168,168,LDS6525 tOutlet,.0.0,12,sensor,150,LDS6525 tOutlet,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
169,169,LDS6525 tPFPGA,.0.0,12,sensor,151,LDS6525 tPFPGA,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
170,170,LDS6525 tInlet,.0.0,12,sensor,152,LDS6525 tInlet,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
171,171,LDS6525 tFB-FPGA,.0.0,12,sensor,153,LDS6525 tFB-FPGA,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
172,172,LDS6525 tEnet,.0.0,12,sensor,154,LDS6525 tEnet,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
173,173,LDS6525 tEthPHY,.0.0,12,sensor,155,LDS6525 tEthPHY,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
174,174,LDS6525 v12.0BP,.0.0,12,sensor,156,LDS6525 v12.0BP,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
175,175,LDS6525 v12.0,.0.0,12,sensor,157,LDS6525 v12.0,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
176,176,LDS6525 iCPU,.0.0,12,sensor,158,LDS6525 iCPU,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
177,177,LDS6525 v12.0A,.0.0,12,sensor,159,LDS6525 v12.0A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
178,178,LDS6525 v-12.0A,.0.0,12,sensor,160,LDS6525 v-12.0A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
179,179,LDS6525 v1.8FPGA,.0.0,12,sensor,161,LDS6525 v1.8FPGA,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
180,180,LDS6525 v0.67MEM,.0.0,12,sensor,162,LDS6525 v0.67MEM,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
181,181,LDS6525 vCR,.0.0,12,sensor,163,LDS6525 vCR,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
182,182,LDS6525 v1.35,.0.0,12,sensor,164,LDS6525 v1.35,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
183,183,LDS6525 v2.5,.0.0,12,sensor,165,LDS6525 v2.5,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
184,184,LDS6525 vBATTERY,.0.0,12,sensor,166,LDS6525 vBATTERY,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
185,185,LDS6525 v5.0,.0.0,12,sensor,167,LDS6525 v5.0,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
186,186,LDS6525 v0.85,.0.0,12,sensor,168,LDS6525 v0.85,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
187,187,LDS6525 v3.3A,.0.0,12,sensor,169,LDS6525 v3.3A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
188,188,LDS6525 v3.3,.0.0,12,sensor,170,LDS6525 v3.3,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
189,189,LDS6525 i12.0A,.0.0,12,sensor,171,LDS6525 i12.0A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
190,190,LDS6525 v0.9,.0.0,12,sensor,172,LDS6525 v0.9,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
191,191,LDS6525 v1.8,.0.0,12,sensor,173,LDS6525 v1.8,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
192,192,LDS6525 v1.5,.0.0,12,sensor,174,LDS6525 v1.5,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
193,193,LDS6525 v1.2,.0.0,12,sensor,175,LDS6525 v1.2,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
194,194,LDS6525 v1.05,.0.0,12,sensor,176,LDS6525 v1.05,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
195,195,LDS6525 v3.3M,.0.0,12,sensor,177,LDS6525 v3.3M,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
196,196,LDS6525 vBATT,.0.0,12,sensor,178,LDS6525 vBATT,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
197,197,LDS6525 i-12.0A,.0.0,12,sensor,179,LDS6525 i-12.0A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
198,198,LDS6525 v1.2FPGA,.0.0,12,sensor,180,LDS6525 v1.2FPGA,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
199,199,LDS6525 v1.0FPGA,.0.0,12,sensor,181,LDS6525 v1.0FPGA,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
200,200,LDS6525 v1.0,.0.0,12,sensor,182,LDS6525 v1.0,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
201,201,LDS6525 v0.67,.0.0,12,sensor,183,LDS6525 v0.67,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
202,202,LDS6525 v1.5A,.0.0,12,sensor,184,LDS6525 v1.5A,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
203,203,LDS6525 FS-R,.0.0,9,sensor,185,LDS6525 FS-R,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
204,204,LDS6525 FS-M1,.0.0,9,sensor,186,LDS6525 FS-M1,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
205,205,LDS6525 FS-M2,.0.0,9,sensor,187,LDS6525 FS-M2,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
206,206,LDS6525 tVSO-M2,.0.0,12,sensor,188,LDS6525 tVSO-M2,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
207,207,LDS6525 tECB,.0.0,12,sensor,189,LDS6525 tECB,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
208,208,LDS6525 vECBIn,.0.0,12,sensor,190,LDS6525 vECBIn,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
209,209,LDS6525 vECBOut,.0.0,12,sensor,191,LDS6525 vECBOut,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
210,210,LDS6525 iECB,.0.0,12,sensor,192,LDS6525 iECB,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
211,211,LDS6525 VerChng,.0.0,12,sensor,193,LDS6525 VerChng,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
212,212,LDS6525 IPMB,.0.0,13,sensor,194,LDS6525 IPMB,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
213,213,LDS6525 Health,.0.0,13,sensor,195,LDS6525 Health,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
214,214,LDS6525 VSO Volt,.0.0,13,sensor,196,LDS6525 VSO Volt,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
215,215,LDS6525 VSO Temp,.0.0,13,sensor,197,LDS6525 VSO Temp,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
216,216,LDS6525 PLT Res,.0.0,13,sensor,198,LDS6525 PLT Res,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
217,217,LDS6525 PLT Sts,.0.0,13,sensor,199,LDS6525 PLT Sts,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
218,218,LDS6525 ProcThrm,.0.0,13,sensor,200,LDS6525 ProcThrm,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
219,219,LDS6525 tBoard1,.0.0,13,sensor,201,LDS6525 tBoard1,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
220,220,LDS6525 tBoard,.0.0,13,sensor,202,LDS6525 tBoard,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
221,221,LDS6525 tOutlet,.0.0,13,sensor,203,LDS6525 tOutlet,,,,,"Mercury Computer Systems, Inc.",,,,FALSE,,
